utt,spk,cond,hyp
p00_u00,p00,mix0.00,부산시는 키를 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정택 점검에 나섰다
p00_u00,p00,mix0.25,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정택 점검에 나섰다
p00_u00,p00,mix0.50,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,mix0.75,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,mix1.00,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,mix1.25,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다
p00_u00,p00,mix1.50,부산시는 칠 일 오후 시민들이 안전하게 계중교통을 이용하기 위해 계중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다
p00_u00,p00,taps_lpf3k,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정책 점검에 나섰다
p00_u00,p00,taps_lpf4k,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통훈작도 안전관리 대책 회의를 열고 정책 점검에 나섰다
p00_u00,p00,taps_lpf5k,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정책 점검에 나섰다
p00_u00,p00,taps_lpf6k,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정택 점검에 나섰다
p00_u00,p00,taps_lpf7k,부산시는 키를 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정택 점검에 나섰다
p00_u00,p00,ce_lpf3k,부산시는 칠 일 오후 시민들이 안전하게 재중교통을 이용하기 위해 재중교통 혼잡도 안전관리 대책 수의의를 열고 정책 점검에 나섰다
p00_u00,p00,ce_lpf4k,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,ce_lpf5k,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,ce_lpf6k,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,ce_lpf7k,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,taps_notch,부산시는 키를 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정택 점검에 나섰다
p00_u00,p00,ce_notch,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,hyb_tapsLow_ceHigh,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,hyb_ceLow_tapsHigh,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다
p00_u01,p00,mix0.00,이날 후에는 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 참석해 안전 확보 추진 상황 전공과 안전관리 강화 방안을 함께 모색했다
p00_u01,p00,mix0.25,이난순위는 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 참석해 안전 확보 추진상황 전공과 안전관리 강화방안을 함께 모색했다
p00_u01,p00,mix0.50,이날 수의위는 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 참석해 안전 확보 추진상황 전공과 안전관리 강화방안을 함께 모색했다
p00_u01,p00,mix0.75,이날 회의는 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 참석해 안전 확보 추진 상황 경건과 안전관리 강화 방안을 함께 모색했다
p00_u01,p00,mix1.00,이날 회의인은 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 삼석해 안전 확보 추진 상황 경건과 안전 관리 강화 방안을 함께 모색했다
p00_u01,p00,mix1.25,이날 회의인은 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 삼 석회 안전 확보 추진 상황 경건과 안전 관리 강화 방안을 함께 모색했다
