condition,speaker_id,sentence_id,reference,hypothesis,cer
baseline_acoustic,p00,u00,부산시는칠일오후시민들이안전하게대중교통을이용하기위해대중교통혼잡도안전관리대책회의를열고정책점검에나섰다,부산시는7일오후시민들이안전하게대중교통을이용하기위해대중교통혼잡도안전관리대책회의를열고정책점검에나섰다.,0.0377
baseline_acoustic,p00,u01,이날회의는시부산교통공사시내마을버스운송사업조합등이참석해안전확보추진상황점검과안전관리강화방안을함께모색했다,"이날회의인은시부산교통공사,시내마을버스운송사업조합등이참석해안전확보추진상황점검과안전관리강화방안을함께모색했다.",0.0727
baseline_acoustic,p00,u02,도시철도는정원백이십명인한칸차량에백팔십명이탑승했을경우혼잡한상태로승무원의관리가필요하다,도시철도는정원120명인한칸차량에180명이탐승했을경우혼자판상태로승무원의관리가필요하다.,0.2222
baseline_acoustic,p00,u03,부산시는출퇴근시간최대순간혼잡도가백이십퍼센트내외수준으로수도권과달리승차에크게어려움을겪지않는수준에서안전하게관리되고있다,부산시는출퇴근시간최대순간혼잡도가120%내외수준으로수도권과달리승차의크게어려움을겪지않는수준에서안전하게관리되고있다.,0.129
baseline_acoustic,p00,u04,시는최근비티에스공연과같이일시적으로혼잡도상승이예상되는행사는빈차추가투입무정차운행등으로혼잡도를해소하기로했다,"시는최근BTS공연과같이일시적으로혼잡도상승이예상되는행사는빈차추가투입,무정차운행등으로혼잡도를해소하기로했다.",0.1071
baseline_acoustic,p00,u05,또현재운영되고있는부산교통공사운행관제현장조치매뉴얼등관련매뉴얼을전면재점검에안전관리를지속적으로해나갈방침이다,"또,현재운영되고있는부산교통공사,운행관제현장조치메뉴얼등관련메뉴얼을전면재검점에안정관리를지속적으로해나갈방침이다.",0.1429
baseline_acoustic,p00,u06,시내마을버스는출퇴근시간대일부노선을제외하고는대부분의노선이혼잡도가낮아현재는승하차에어려움없이안전하게관리되고있다,시내마을버스는출퇴근시간대일부노선을제외하고는대부분의노선이혼잡도가낮아현재는승화차의어려움없이안전하게관리되고있다.,0.0517
baseline_acoustic,p00,u07,앞으로시는이천이십삼년하반기중하차태그의무제를도입해버스내재차인원정보를파악해탑승인원을실시간수집할계획이다,앞으로씨는2023년하반기준하차태그의무제를도입해버스내제차인원정보를파악해탑승인원을실시간수집할계획이다.,0.1667
baseline_acoustic,p00,u08,이를통해버스내혼잡도정보를버스정보안내기스마트폰등을통해이용시민들에게제공할계획이다,"이를통해버스내혼잡도정보를버스정보안내기,스마트폰등을통해이용시민들에게제공할계획이다.",0.0476
baseline_acoustic,p00,u09,원주시는십구일오후호저면산현리칠봉체육공원에서섬강자작나무숲둘레길개통식을개최했다,원주씨는19일오후호조면산열리칠봉체육공원에서섬강자장나무습둘레길개통식을개최했다.,0.1951
baseline_acoustic,p00,u10,이날개통된사점오키로미터규모의둘레길은데크길과휴게공간을비롯해수령삼십년이상의자작나무가군락을이루고있는숲등을갖추고있다,이날개통된4.5km규모의둘레길은대크길과휴게공간을비롯해수령30년이상의자작나무가굴락을이루고있는숲등을갖추고있다.,0.2
baseline_acoustic,p00,u11,칠봉체육공원에서출발해섬강을따라걷는데크길에서는들판과강이어우러진풍광을만끽할수있다,칠봉체육경원에서출발해성강을따라걷는태극길에는들판과강이어우러진풍강을만끽할수있다.,0.1667
baseline_acoustic,p00,u12,이어잣나무숲을지나면곧이어은빛자태를뽐내는자작나무군락이나타난다,이어잔나무숲을지나면곧이어은비차태를뿐내는자장나무굴락이나타난다.,0.2188
baseline_acoustic,p00,u13,원주시는관광객들에게새로운볼거리를제공하기위해섬강자작나무숲둘레길에다양한주제의숲을추가조성하기로했다,"원주시는관광극들에게새로운볼거리를제공하기위해섬광,자장나무숲,둘레길의다양한주제의숲을추가조성하기로했다.",0.1373
baseline_acoustic,p00,u14,원창묵원주시장은치악산둘레길소금산그랜드밸리등과연계한관광프로그램을운영하는방안도검토하고있다고말했다,"원창북원주시장은치약산둘렛길,소금산그랜드벨리등과연계한관광프로그램을운영하는방안도검토하고있다,꼭말했다.",0.1569
baseline_acoustic,p00,u15,앞서원주시는지난해오월백삼십구점이키로미터에달하는치악산둘레길열한개코스전구간을개통했다,앞서원주시는지난해5월139.2km에달하는치약산둘렛길11개코스전구간을개통했다.,0.3636
baseline_acoustic,p00,u16,이는등산로샛길임도둑길옛길마을길등기존의길을연결하고새로운길을내어다듬은도보여행길이다,"이는등살로,새길,임도,두길,옛길,마을길등기존의길을연결하고새로운길을내어다듬은도보여행길이다.",0.2093
baseline_acoustic,p00,u17,순창군체육회가주최하고순창군배드민턴협회가주관해열린제십일회순창고추장배전국배드민턴대회가성황리에막을내렸다,순창군체육회가주최하고순창군배드민턴협회가주간에열린제12회순창고추장배의전국배드민턴대회가성악리에막을내렸다.,0.1296
baseline_acoustic,p00,u18,순창국민체육센터등세개구장에서전라북도와순창군이후원해지난육일부터이틀동안열린대회는예상보다많은일천여명이참가해인기를실감케했다,순창국민체육센터등세계구장에서전라북도와순창군이후원해지난6일부터이틀동안열린대회는예상보다많은1천여명이참가해인기를실감케했다.,0.0625
baseline_acoustic,p00,u19,특히참가한선수는모두동호인으로연령별성별경기방식에따라칠십개조로나눠경기가진행됐다,"특히참가한선수는모두동호인으로연령별,성별,경기방식에따라70개조로나눠경기가진행됐다.",0.122
baseline_acoustic,p00,u20,애초국민체육센터와장애인체육관등이곳에서대회가진행될예정이었으나일천여명이참가를희망하자순창제일고체육관까지대관해세개구장에서치러졌다,애초국민체육센터와장애인체육관등두곳에서대회가진행될예정이었으나1천여명이참가를희망하자순천제일구체육관까지대관해3개부장에서치러졌다.,0.1045
baseline_acoustic,p00,u21,특히코로나일구재확산세로접어든엄중한시기여서군과배드민턴협회는철저한시설방역에중점을두고경기를진행했다,특히코로나19재확산세로접어든엄중한시기여서둥과배드민턴협회는철저한시설방역에중점을두고경계를진행했다.,0.098
baseline_acoustic,p00,u22,아울러발열체크와꼼꼼한시설소독으로동호인의건강보호는물론지역내코로나확산방지에최선을다했다는게주최측의설명이다,아울러발열체크와꼼꼼한시설소득으로동호인의건강보호는물론지역내코로나확산방지에최선을다했다는게주최책의설명이다.,0.0545
baseline_acoustic,p00,u23,한편이번대회는코로나일구가발생하기전인지난이천십구년을마지막으로그동안열리지못하다가정부의거리두기해제정책에따라삼년만에다시개최됐다,한편이번대회는코로나19가발생하기전인지난2019년을마지막으로그동안열리지못하다가정부의거리두기해제정책에따라3년만에다시개최됐다.,0.1212
baseline_acoustic,p00,u24,자신의아내를성폭행했다고오해해직장동료를흉기로찔러살해한혐의를받는사십대공무직직원이재판에넘겨졌다,자신의아내를성폭행했다고오해직장동료를숨기로찔러살해한혐의를받은40대의공무직직원이재판에넘겨졌다.,0.1429
baseline_acoustic,p00,u25,이일법조계에따르면인천지검은살인및도로교통법상음주운전혐의로인천옹진군청소속공무직직원에이씨를구속기소했다,이일법조계에따르면인천지검은살인및도로교통법상음주운전혐의로인천옹진군척소속공무원직원A씨를구속기소했다.,0.0943
baseline_acoustic,p00,u26,해당사건은인천지법형사십오부에배당됐으며아직첫기일은정해지지않았다,해당사건은인천지법형사15부에배당됐으며아직첫기일은정해지지않았다.,0.0909
baseline_acoustic,p00,u27,앞서에이씨에대한구속전피의자심문을진행한김현덕인천지법영장전담부장판사는피의자가도망할우려가있다며구속영장을발부했다,앞서AC에대한구속전피의자신문을진행한김현덕인천지범영장전담부장판사는피의자가도망할우려가있다며구속영장을발부했다.,0.1034
baseline_acoustic,p00,u28,에이씨는영장실질심사에출석하기전피해자에게할말없느냐는취재진의질문에죄송하다죽을죄를지었다고작은목소리로답했다,A씨는영장실질심사에출석하기전피해자에게할말없느냐는취재진의질문에죄송하다죽을때를지었다고작은목소리로답했다.,0.0727
baseline_acoustic,p00,u29,그는지난달십이일영시오분께한도로에서면사무소동료인공무직직원비씨의복부부위를흉기로찔러살해한혐의를받고있다,그는지난달12일0시5분께한도로에서면사무소동료인공무직직원bc의복부부위를흉기로찔러살해한혐의를받고있다.,0.1321
baseline_acoustic,p00,u30,에이씨는범행당일오후비씨를포함해지인들과함께고깃집에서술을마신후자기집에서다같이술자리를또가졌던것으로조사됐다,A씨는범행당일OB씨를포함해지인들과함께고기집에서술을마신후자기집에서다같이술자리를또가졌던것으로조사됐다.,0.1273
baseline_acoustic,p00,u31,이후일행이모두귀가한뒤에이씨는잠긴방안에서옷을벗은채잠든아내를보고술김에비씨가자기아내를성폭행했다고오해한것으로파악됐다,"이후일행이모두귀가안뒤,A씨는잠긴방안에서옷을벗은채잠든아내를보고,술김에B씨가자기아내를성폭행했다고오해한것으로파악됐다.",0.1
baseline_acoustic,p00,u32,경찰조사에서에이씨는평소보다술을많이마셔서술김에비씨를오해했다고진술했다,경찰조사에서A씨는평소보다술을많이마셔서술김에삐시를오해했다고진술했다.,0.1389
baseline_acoustic,p00,u33,에이씨의아내도참고인조사에서비씨에게성폭행을당한사실이없다고밝힌것으로전해졌다,A씨의아내도참고인조사에서B씨에게성폭행을당한사실이없다고밝힌것으로전해졌다.,0.1026
baseline_acoustic,p00,u34,경북칠곡군이민간위탁을통해운영중인칠곡보야외물놀이장이인기를끌고있다,경북7곡군이민간위탁을통해운영중인7곡보야외물놀이장이인기를끌고있다.,0.0882
baseline_acoustic,p00,u35,임종진씨는민결윤결쌍둥이자녀와올여름에만두번째칠곡보야외물놀이장을찾았다,"임종진씨는민결,융결,쌍둥이자녀와올여름에만두번째7곡보야외물놀이장을찾았다.",0.1389
baseline_acoustic,p00,u36,사인가족기준이만원이면수영장은물론각종물놀이부대시설을마음껏이용할수있기때문이다,4인가족기준2만원이면수영장은물론각종물놀이부대시설을마음껏이용할수있기때문이다.,0.075
baseline_acoustic,p00,u37,입장료이외는별도의비용이발생하지않는등사설물놀이장보다저렴한가격은물론다양한부대시설과매점판매음식물이저렴하기때문이다,입장료위에는별도의비용이발생하지않는등사설물놀이장보다저렴한가격은물론다양한부대시설과매점판매음식물이저렴하기때문이다.,0.0508
baseline_acoustic,p00,u38,물놀이장에는대형풀다섯개중형풀두개워터슬라이드에어바운드기차오토바이등이마련돼있다,"물놀이장에는대형풀5개,중형풀2개,워터슬라이드,에어바운드,기차,오토바이등이마련되어있다.",0.2683
baseline_acoustic,p00,u39,이용편의를위해몽골텐트차광막테이블피크닉존매점푸드존샤워실탈의실화장실등의부대시설도갖춰져있다,"이용편의를위해몽골탱트,차광막,테이블,피크닉존,매점,푸드존,샤워실,타리실,화장실등의부대시설로도갖춰져있다.",0.2766
baseline_acoustic,p00,u40,이용요금은십사세이상일만이천원어린이팔천원이며칠곡군민은오십퍼센트할인된다,"이용요금은14세이상12,000원,어린이8,000원이며7고구미는50%할인된다.",0.6757
