condition,speaker_id,sentence_id,reference,hypothesis,cer
baseline_throat,p00,u00,부산시는칠일오후시민들이안전하게대중교통을이용하기위해대중교통혼잡도안전관리대책회의를열고정책점검에나섰다,구간시는7일오후10민들이안전하게대중교통을이용하기위해대중교통혼잡도안전관리대책회의를열고정책정검에나섰다.,0.1321
baseline_throat,p00,u01,이날회의는시부산교통공사시내마을버스운송사업조합등이참석해안전확보추진상황점검과안전관리강화방안을함께모색했다,"이날회의는시위부상기통공사,신의마을버스은송사업조합등참석의안전학부추진상황전용과안전관리바와바와는함께모색했다.",0.3455
baseline_throat,p00,u02,도시철도는정원백이십명인한칸차량에백팔십명이탑승했을경우혼잡한상태로승무원의관리가필요하다,도시혈조는병원120명인한편차량에180명을감성했을경우혼잡한상태로승무원의관리가필요하다.,0.3111
baseline_throat,p00,u03,부산시는출퇴근시간최대순간혼잡도가백이십퍼센트내외수준으로수도권과달리승차에크게어려움을겪지않는수준에서안전하게관리되고있다,부산시는출퇴근시간최대순간손잡소가120%내배수준으로수족권과달리승차의크기어려움을켰지않는수준에서안전하게관리되고있다.,0.2258
baseline_throat,p00,u04,시는최근비티에스공연과같이일시적으로혼잡도상승이예상되는행사는빈차추가투입무정차운행등으로혼잡도를해소하기로했다,"T는최근BKS동영과같이인시적으로혼잡도상승을예상되는행사는진차추가투입,무정차운행등으로혼잡도를해소하기로했다.",0.2143
baseline_throat,p00,u05,또현재운영되고있는부산교통공사운행관제현장조치매뉴얼등관련매뉴얼을전면재점검에안전관리를지속적으로해나갈방침이다,"또현재운영되고있는부상교통공사,운행관계현장조치메뉴얼등관련메뉴얼을전면재검점에안정관리를지속적으로해나갈방침이다.",0.1607
baseline_throat,p00,u06,시내마을버스는출퇴근시간대일부노선을제외하고는대부분의노선이혼잡도가낮아현재는승하차에어려움없이안전하게관리되고있다,시내마을버스는출퇴근시간때일부노선을제외하고는대부분의노선이혼잡조가낮아현재는생활차에어려움없이안전하게관리되고있다.,0.0862
baseline_throat,p00,u07,앞으로시는이천이십삼년하반기중하차태그의무제를도입해버스내재차인원정보를파악해탑승인원을실시간수집할계획이다,앞으로신의2023년하방이기중하차팩을의무제를도입해버스내제차인원정보를파악해탑스의인원을실시간수집할계획이다.,0.2778
baseline_throat,p00,u08,이를통해버스내혼잡도정보를버스정보안내기스마트폰등을통해이용시민들에게제공할계획이다,이를통해버튼의혼잡도정보를버튼정보안내기스마트폰정을통해이용시는디렉을제공할계획이다.,0.2143
baseline_throat,p00,u09,원주시는십구일오후호저면산현리칠봉체육공원에서섬강자작나무숲둘레길개통식을개최했다,원주신은195호조면산열류7봉태우공원에서성강4장나무숲블랙길3총숲을개최했다.,0.5366
baseline_throat,p00,u10,이날개통된사점오키로미터규모의둘레길은데크길과휴게공간을비롯해수령삼십년이상의자작나무가군락을이루고있는숲등을갖추고있다,이날개청된4.5km규모의둘렛길은대표길과시계공간을비롯해수령30년이상의자정나무가굴락을이루고있는습봉을갖추고있다.,0.3333
baseline_throat,p00,u11,칠봉체육공원에서출발해섬강을따라걷는데크길에서는들판과강이어우러진풍광을만끽할수있다,7봉체육경원에서출발해성강을따라걷는택백길에는불판과방이어우러진풍강을만족할수있다.,0.2619
baseline_throat,p00,u12,이어잣나무숲을지나면곧이어은빛자태를뽐내는자작나무군락이나타난다,이어잔나무수풀지나면보디어음비카페를풀레는자장나무질락이나타난다.,0.4375
baseline_throat,p00,u13,원주시는관광객들에게새로운볼거리를제공하기위해섬강자작나무숲둘레길에다양한주제의숲을추가조성하기로했다,원주씨는건강객들에게새로운볼거리제공하기위해성강자장남수블랙끼리의다양한유재의숲을추가조성하기로했다.,0.3137
baseline_throat,p00,u14,원창묵원주시장은치악산둘레길소금산그랜드밸리등과연계한관광프로그램을운영하는방안도검토하고있다고말했다,"원창욱원지시장은치약산블랙기소금상그랜드벨리등과열기한관광프로그램을운영하는방안도공토하고있다,또말했다.",0.2745
baseline_throat,p00,u15,앞서원주시는지난해오월백삼십구점이키로미터에달하는치악산둘레길열한개코스전구간을개통했다,아까원조시는지난해5월139.2km에달하는시악산블랙기의11개코스정지관을개통했다.,0.5682
baseline_throat,p00,u16,이는등산로샛길임도둑길옛길마을길등기존의길을연결하고새로운길을내어다듬은도보여행길이다,"있는등산로,핵지,인도,국지,역지,마을길등기존의길을연결하고,새로운길을내어다듬은도부여행길이다.",0.3721
baseline_throat,p00,u17,순창군체육회가주최하고순창군배드민턴협회가주관해열린제십일회순창고추장배전국배드민턴대회가성황리에막을내렸다,흔창군체육회가주최하고흔창군베드민턴협회가주간에열린제12회흔창고추장부의전국베드민턴대회가상황위에막을내렸다.,0.2593
baseline_throat,p00,u18,순창국민체육센터등세개구장에서전라북도와순창군이후원해지난육일부터이틀동안열린대회는예상보다많은일천여명이참가해인기를실감케했다,"순창국민체육센터도세계구장에서전라북도와순창군의후원에지난6일부터이틀동안열린대회는예상보다많은1,000여명의참가에은기를실감케했다.",0.2188
baseline_throat,p00,u19,특히참가한선수는모두동호인으로연령별성별경기방식에따라칠십개조로나눠경기가진행됐다,"특히창가선수는모두동원인으로연령별,창별,경기방식에따라70개조로나눠경기가진행됐다.",0.2195
baseline_throat,p00,u20,애초국민체육센터와장애인체육관등이곳에서대회가진행될예정이었으나일천여명이참가를희망하자순창제일고체육관까지대관해세개구장에서치러졌다,애초국민체육센터와장응체육관등두곳에서대회가진행될예정이었으나2000여명의참가를해라맞아순천제이구체육관까지되간에세계기장에서치러졌다.,0.3134
baseline_throat,p00,u21,특히코로나일구재확산세로접어든엄중한시기여서군과배드민턴협회는철저한시설방역에중점을두고경기를진행했다,특히코로나19재확산세로접어든엄지화의위기여서공과대듬인턴협회는철저한시설방역의종정을누구경계를진행했다.,0.3333
baseline_throat,p00,u22,아울러발열체크와꼼꼼한시설소독으로동호인의건강보호는물론지역내코로나확산방지에최선을다했다는게주최측의설명이다,아울러발열체크와꼼꼼한시설소득으로동호인의건강보호는물론기영내코로나확산방지에최선을다했다는게지체측의설명이다.,0.1091
