language,speaker_id,sentence_id,reference,A_pretrained,B_full_ft,C_adapter,D_lora
korean,p00,u00,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다,0.1159,0.058,0.058,0.0435
korean,p00,u01,이날 회의는 시 부산교통공사 시내마을버스운송사업조합 등이 참석해 안전 확보 추진상황 점검과 안전관리 강화 방안을 함께 모색했다,0.3714,0.0571,0.1286,0.1286
korean,p00,u02,도시철도는 정원 백 이십 명인 한 칸 차량에 백 팔십 명이 탑승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다,0.3226,0.0323,0.0968,0.0484
korean,p00,u03,부산시는 출퇴근 시간 최대 순간 혼잡도가 백 이십 퍼센트 내외 수준으로 수도권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다,0.1928,0.0723,0.0723,0.0482
korean,p00,u04,시는 최근 비티에스 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈 차 추가투입 무정차 운행 등으로 혼잡도를 해소하기로 했다,0.1892,0.0405,0.0405,0.0676
korean,p00,u05,또 현재 운영되고 있는 부산교통공사 운행관제 현장조치 매뉴얼 등 관련 매뉴얼을 전면 재점검에 안전관리를 지속적으로 해나갈 방침이다,0.125,0.0833,0.0833,0.1111
korean,p00,u06,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다,0.2162,0.0811,0.0811,0.0811
korean,p00,u07,앞으로 시는 이천 이십 삼 년 하반기 중 하차태그 의무제를 도입해 버스 내 재차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다,0.2533,0.04,0.0267,0.04
korean,p00,u08,이를 통해 버스 내 혼잡도 정보를 버스정보안내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다,0.2545,0.0364,0.0364,0.0909
korean,p00,u09,원주시는 십 구 일 오후 호저면 산현리 칠봉 체육공원에서 섬강 자작나무 숲 둘레길 개통식을 개최했다,0.5818,0.1273,0.1091,0.2182
korean,p00,u10,이날 개통된 사 점 오 키로미터 규모의 둘레길은 데크길과 휴게공간을 비롯해 수령 삼십 년 이상의 자작나무가 군락을 이루고 있는 숲 등을 갖추고 있다,0.3171,0.061,0.0488,0.0488
korean,p00,u11,칠봉 체육공원에서 출발해 섬강을 따라 걷는 데크길에서는 들판과 강이 어우러진 풍광을 만끽할 수 있다,0.2182,0.1636,0.1636,0.1636
korean,p00,u12,이어 잣나무 숲을 지나면 곧이어 은빛 자태를 뽐내는 자작나무 군락이 나타난다,0.3571,0.2143,0.2143,0.2619
korean,p00,u13,원주시는 관광객들에게 새로운 볼거리를 제공하기 위해 섬강 자작나무 숲 둘레길에 다양한 주제의 숲을 추가 조성하기로 했다,0.303,0.1818,0.1515,0.0758
