split,utt,spk,asr,cond,hyp
test,p00_u00,p00,whisper-small,no_se,주관실은 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책정검에 나섰다.
test,p00_u00,p00,whisper-small,taps,부산시는 키를 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정택점검에 나섰다.
test,p00_u00,p00,whisper-small,ce0.0,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다.
test,p00_u00,p00,whisper-small,ce0.1,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 경색 경검에 나섰다.
test,p00_u00,p00,whisper-small,ce0.5,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 경택 경검에 나섰다.
test,p00_u00,p00,whisper-small,ce1.0,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다.
test,p00_u00,p00,whisper-small,ce2.0,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 경택 경검에 나섰다.
test,p00_u00,p00,whisper-small,ce5.0,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 경택 경검에 나섰다
test,p00_u00,p00,whisper-small,ce10.0,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정책 경검에 나섰다
test,p00_u00,p00,whisper-small,ce_only10.0,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정택 경검에 나섰다
test,p00_u00,p00,whisper-small,enc5.0,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 경쾌경검에 나섰다.
test,p00_u01,p00,whisper-small,no_se,"이날 회의는 시위 부상기통공사, 신의 마을버스 은송 사업 조합 등 참석의 안전학부 추진 상황 전용과 안전 관리 바와 바와는 함께 모색했다."
test,p00_u01,p00,whisper-small,taps,"이난순위는 시 부산교통공사, 시내 마을버스 운송사업조합 등이 참석해 안전 확고 추진 상황 경공과 안전 관리 강화 방안을 함께 모색했다."
test,p00_u01,p00,whisper-small,ce0.0,"잇나 스위인은 시 부산교통공사, 시내, 마을버스, 운송, 사업, 조합 등이 참석해 안전사고 추진 상황 전공과 안전 관리 강화 방안을 함께 모색했다."
test,p00_u01,p00,whisper-small,ce0.1,"잇날 수인이는 실 부산교통공사, 시내, 마을버스, 운송, 사업, 조합 등이 삼석해 안전 확보 추진 상황 경공과 안전 관리 강화 방안을 함께 모색했다."
test,p00_u01,p00,whisper-small,ce0.5,"이날 회의인은 시 부산교통공사, 시내 마을버스운송사업조합 등이 삼석해 안전 확보 추진상황 경건과 안전 관리 강화 방안을 함께 모색했다."
test,p00_u01,p00,whisper-small,ce1.0,"이난수인인은 시부상교통공사, 시내 마을버스운송사업조합 등이 삼석해 안전 확보 추진상황 경공과 안전 관리 강화 방안을 함께 모색했다."
test,p00_u01,p00,whisper-small,ce2.0,"이날 수행위는 시 부산교통공사, 시내, 마을버스, 운송, 사업, 조합 등이 참석해 안전사고 추진상황 경공과 안전관리 강화 방안을 함께 모색했다."
test,p00_u01,p00,whisper-small,ce5.0,이날 회의는 시 부상교통공사 시내 마을버스 운송상업조합 등이 참석해 안전 확고 추진 상황 경공과 안전 관리 강화 방안을 함께 모색했다
test,p00_u01,p00,whisper-small,ce10.0,"이난회인은 시 부상교통공사, 시내, 마을버스, 은송, 상업, 조합 등이 참석해 안전 삭보 추진 상황 경건과 안전 관리 강화 방안을 함께 모색했다"
test,p00_u01,p00,whisper-small,ce_only10.0,이낯의 인은 시 부산교통공사 시내 마을버스 운송상업조합 등이 참석해 안전 확보 추진 상황 경건과 안전관리 강화 방안을 함께 모색했다
test,p00_u01,p00,whisper-small,enc5.0,"잇나 스위미는 시 부상교통공사, 시내 마을버스 은송 사업조합경이 참석해 안전사고 추진상한 경건과 안전관리 강화 방안을 함께 모색했다."
test,p00_u02,p00,whisper-small,no_se,도시혈조는 병원 120명인 한편 차량에 180명을 감성했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
test,p00_u02,p00,whisper-small,taps,도시철도는 정원 120명인 황칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
test,p00_u02,p00,whisper-small,ce0.0,도시철도는 정원 120명인 한칸 차량에 180명이 탐승했을 경우 혼자 판 상태로 승무원의 관리가 필요하다.
test,p00_u02,p00,whisper-small,ce0.1,도시철도는 정원 120명인 황칸 차량에 180명이 탐승했을 경우 혼자 판 상태로 승무원의 관리가 필요하다.
test,p00_u02,p00,whisper-small,ce0.5,도시철도는 정원 120명인 항칸사랑에 180명에 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
test,p00_u02,p00,whisper-small,ce1.0,도희철도는 정원 120명인 상판 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
test,p00_u02,p00,whisper-small,ce2.0,도희 출동은 경원 120명인 상판 차량에 180명이 탐승했을 경우 혼자 판 상태로 승무원의 관리가 필요하다.
test,p00_u02,p00,whisper-small,ce5.0,도시 출동은 경원 120명인 상칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
test,p00_u02,p00,whisper-small,ce10.0,도시철도는 경원 120명인 상판 차량에 180명이 탐승했을 경우 혼자 판 상태로 승무원에 관리가 필요하다
test,p00_u02,p00,whisper-small,ce_only10.0,도시철도는 정원 120명인 한 칸 차량에 180명에 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
test,p00_u02,p00,whisper-small,enc5.0,도시철도는 경원 120명인 상칸 차량에 180명이 참승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
test,p00_u03,p00,whisper-small,no_se,부산시는 출퇴근 시간 최대 순간 손잡소가 120% 내배 수준으로 수족권과 달리 승차의 크기 어려움을 켰지 않는 수준에서 안전하게 관리되고 있다.
test,p00_u03,p00,whisper-small,taps,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 펴지 않는 수준에서 안전하게 관리되고 있다.
test,p00_u03,p00,whisper-small,ce0.0,부산시는 출퇴근 시간 퇴제 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
test,p00_u03,p00,whisper-small,ce0.1,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
test,p00_u03,p00,whisper-small,ce0.5,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
test,p00_u03,p00,whisper-small,ce1.0,부산시는 출퇴근 시간 최대 순간 손잡도가 120% 내외 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
test,p00_u03,p00,whisper-small,ce2.0,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
test,p00_u03,p00,whisper-small,ce5.0,부산시는 출 퇴근 시간 최대 순간 혼잡도가 120% 내배 수준으로 수족건과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
test,p00_u03,p00,whisper-small,ce10.0,부산시는 출 퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수족건과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
test,p00_u03,p00,whisper-small,ce_only10.0,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내배 수준으로 수도권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
test,p00_u03,p00,whisper-small,enc5.0,부산시는 출퇴근시간 최대 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
test,p00_u04,p00,whisper-small,no_se,"P는 최근 BKS 동영과 같이 인시적으로 혼잡도 상승을 예상되는 행사는 진차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
test,p00_u04,p00,whisper-small,taps,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
test,p00_u04,p00,whisper-small,ce0.0,"씨는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
test,p00_u04,p00,whisper-small,ce0.1,"씨는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
test,p00_u04,p00,whisper-small,ce0.5,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
test,p00_u04,p00,whisper-small,ce1.0,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
test,p00_u04,p00,whisper-small,ce2.0,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빔차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다"
test,p00_u04,p00,whisper-small,ce5.0,시는 최근 bts 공연과 같이 의식적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입 무정차 운행 등으로 혼잡도를 해소하기로 했다
test,p00_u04,p00,whisper-small,ce10.0,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다"
test,p00_u04,p00,whisper-small,ce_only10.0,시는 최근 bts 공연과 같이 인시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 트입 무정차 운행 등으로 혼잡도를 해소하기로 했다
test,p00_u04,p00,whisper-small,enc5.0,"씨는 최근 BTS 공연과 같이 일시적으로 혼잡도 상생이 예상되는 행사는 빈차 추가 트윗, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
test,p00_u05,p00,whisper-small,no_se,"또 현재 운영되고 있는 부상교통공사, 운행관계 현장조치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 지속적으로 해나갈 방침이다."
test,p00_u05,p00,whisper-small,taps,"또, 현재 운영되고 있는 부상교통공사, 운행관제 현장 조치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 기속적으로 해나갈 방퀴입니다."
test,p00_u05,p00,whisper-small,ce0.0,"또, 현재 운영되고 있는 부상교통공사, 운행관계 현장조치 메뉴얼 등 관련 메뉴얼을 접는 재검점에 안정관리를 기속적으로 해나갈 방침이다."
test,p00_u05,p00,whisper-small,ce0.1,"또, 현재 운영되고 있는 부상교통공사, 운행관계 현장 조치 메뉴얼 등 관련 메뉴얼을 접면 재검점에 안정관리를 기속적으로 해나갈 방심이다."
test,p00_u05,p00,whisper-small,ce0.5,또 현재 운영되고 있는 부산교통공사 운행관계 현장조치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 지속적으로 해나갈 방침이다.
test,p00_u05,p00,whisper-small,ce1.0,"또 현재 운영되고 있는 부상교통공사, 운행관계 현장조치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 지속적으로 해나갈 방침이다."
test,p00_u05,p00,whisper-small,ce2.0,"또 현재 운영되고 있는 부산교통공사, 운행관계 현장조치 메뉴얼 등 관련 메뉴얼을 접는 재검점에 안전관리를 지속적으로 해나갈 방침이다."
test,p00_u05,p00,whisper-small,ce5.0,"또 현재 운영되고 있는 부상교통공사, 운행관계 현장 조치 매뉴얼 등 관련 매뉴얼을 견면에 제검점에 안전 관리를 기속적으로 해나갈 방침이다"
test,p00_u05,p00,whisper-small,ce10.0,"또 현재 운영되고 있는 부상교통공사, 운행관제, 현장조치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 기속적으로 해나갈 방침이다"
test,p00_u05,p00,whisper-small,ce_only10.0,"또 현재 운영되고 있는 부상교통공사, 운행관계 현장 조치 메뉴얼 등 관련 메뉴얼을 접는 재검점에 안전 관리를 기속적으로 해나갈 방침이다"
