sentence_id,reference,hypothesis,cer
u00,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 수행을 열고 정책 점검에 나섰다,0.058
u01,이날 회의는 시 부산교통공사 시내마을버스운송사업조합 등이 참석해 안전 확보 추진상황 점검과 안전관리 강화 방안을 함께 모색했다,이날 회의는 시 부산교통공사 시내 마을버스 운송사업조합 등이 참석해 안전 확보 추진상황 경영과 안전관리 강화 방안을 함께 모색했다,0.0571
u02,도시철도는 정원 백 이십 명인 한 칸 차량에 백 팔십 명이 탑승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다,도시철도는 경원 백 이십 명인 한 칸 차량에 백 팔십 명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다,0.0323
u03,부산시는 출퇴근 시간 최대 순간 혼잡도가 백 이십 퍼센트 내외 수준으로 수도권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다,부산시는 출퇴근 시간 최대 순간 혼잡조가 백 이십 퍼센트 네 배 수준으로 수족권과 달리 승차이 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다,0.0723
u04,시는 최근 비티에스 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈 차 추가투입 무정차 운행 등으로 혼잡도를 해소하기로 했다,시는 최근 비티에스 공연과 같이 인시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입 무정차 운행 등으로 혼잡도를 해소하기로 했다,0.0405
u05,또 현재 운영되고 있는 부산교통공사 운행관제 현장조치 매뉴얼 등 관련 매뉴얼을 전면 재점검에 안전관리를 지속적으로 해나갈 방침이다,또 현재 운영되고 있는 부산교통공사 운행관재 현장 조치 매뉴얼 등 관련 매뉴얼을 전면 재건점에 안정관리를 기속적으로 해나갈 방침이다,0.0833
u06,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다,신해 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 생화차에 어려움 없이 안전하게 관리되고 있다,0.0811
u07,앞으로 시는 이천 이십 삼 년 하반기 중 하차태그 의무제를 도입해 버스 내 재차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다,앞으로 시는 이천 이십 삼 년 하반기 중 하차택의 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다,0.04
u08,이를 통해 버스 내 혼잡도 정보를 버스정보안내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다,0.0364
u09,원주시는 십 구 일 오후 호저면 산현리 칠봉 체육공원에서 섬강 자작나무 숲 둘레길 개통식을 개최했다,원주시는 십 구 일 오후 호조면 산열리 칠봉체육공원에서 섬강 가장나무습 둘레길 개통식을 개최했다,0.1273
u10,이날 개통된 사 점 오 키로미터 규모의 둘레길은 데크길과 휴게공간을 비롯해 수령 삼십 년 이상의 자작나무가 군락을 이루고 있는 숲 등을 갖추고 있다,이날 개통된 사 점 오 키로미터 규모의 둘렷길은 대곡길과 휴게 공간을 비롯해 수령 삼십 년 이상의 자장나무가 군락을 이루고 있는 숲 등을 갖추고 있다,0.061
u11,칠봉 체육공원에서 출발해 섬강을 따라 걷는 데크길에서는 들판과 강이 어우러진 풍광을 만끽할 수 있다,칠 봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만족할 수 있다,0.1636
u12,이어 잣나무 숲을 지나면 곧이어 은빛 자태를 뽐내는 자작나무 군락이 나타난다,이어 잔나무 수풀지나면 곧이어 은비 차태를 뿐내는 자장나무 굴락이 나타난다,0.2143
u13,원주시는 관광객들에게 새로운 볼거리를 제공하기 위해 섬강 자작나무 숲 둘레길에 다양한 주제의 숲을 추가 조성하기로 했다,원주시는 관광객들에게 새로운 볼거리를 제공하기 위해 성광자장나무습 둘렛길에 다양한 유재의 수프를 추가 조성하기로 했다,0.1818
u14,원창묵 원주시장은 치악산 둘레 길 소금산 그랜드밸리 등과 연계한 관광 프로그램을 운영하는 방안도 검토하고 있다고 말했다,원창북 원주시장은 취약산 둘레길 소금산 그랜디벨리 등과 연계한 관광 프로그램을 운영하는 방안도 검토하고 있다고 말했다,0.0909
u15,앞서 원주시는 지난해 오 월 백 삼십 구 점 이 키로미터에 달하는 치악산 둘레 길 열 한 개 코스 전 구간을 개통했다,앞서 원주시는 지난해 오 월 백 삼십 구 점 이 키로미터에 달하는 취약산 둘렷길 열 한 개 코스 전 구간을 개통했다,0.0615
u16,이는 등산로 샛길 임도 둑길 옛길 마을 길 등 기존의 길을 연결하고 새로운 길을 내어 다듬은 도보 여행길이다,이는 등산록 핵길 인도 두길 옛길 마압길 등 기존에 길을 연결하고 새로운 길을 내어 다듬은 도부 여행길이다,0.1333
u17,순창군체육회가 주최하고 순창군배드민턴협회가 주관해 열린 제 십 일 회 순창 고추장 배 전국배드민턴대회가 성황리에 막을 내렸다,순창군 체육회가 주최하고 순창군 배드민턴엿회가 주관에 열린 제 십 일 회 순창 고추장배 전국 배드민턴대회가 성황리에 막을 내렸다,0.087
u18,순창국민체육센터 등 세 개 구장에서 전라북도와 순창군이 후원해 지난 육 일부터 이틀 동안 열린 대회는 예상보다 많은 일 천 여명이 참가해 인기를 실감케 했다,순창국민체육센터 등 회계구장에서 전라북도와 순창군이 후원해 지난 육 일부터 이틀 동안 열린 대회는 예상보다 많은 일천 여명이 참가해 인기를 실관케 했다,0.069
u19,특히 참가한 선수는 모두 동호인으로 연령별 성별 경기방식에 따라 칠십 개조로 나눠 경기가 진행됐다,특히 참가한 선수는 모두 동호인으로 연령별 상별 경기방식에 따라 칠십 개조로 나눠 경기가 진행됐다,0.0185
u20,애초 국민체육센터와 장애인체육관 등 이 곳에서 대회가 진행될 예정이었으나 일 천 여명이 참가를 희망하자 순창제일고 체육관까지 대관해 세 개 구장에서 치러졌다,애초 국민체육센터와 장애인체육관 등 두 곳에서 대회가 진행될 예정이었으나 일천여 명이 참가를 휘나가자 순천 제 일구 체육관까지 대관해 세 개 구장에서 치러졌다,0.1264
u21,특히 코로나 일구 재확산세로 접어든 엄중한 시기여서 군과 배드민턴협회는 철저한 시설방역에 중점을 두고 경기를 진행했다,특히 코로나 일구 재확산세로 접어든 엄중한 시기여서 공과 배드민턴엽회는 철저한 시설 방역에 중점을 놓고 경기를 진행했다,0.0615
u22,아울러 발열 체크와 꼼꼼한 시설소독으로 동호인의 건강보호는 물론 지역 내 코로나 확산 방지에 최선을 다했다는 게 주최 측의 설명이다,아울러 발열 체크와 꼼꼼한 시설 소득으로 동호인의 건강보호는 물론 지역 내 코로나 확산 방지에 최선을 다했다는 게 주최체계 설명이다,0.0685
u23,한편 이번 대회는 코로나 일구가 발생하기 전인 지난 이천 십 구 년을 마지막으로 그동안 열리지 못하다가 정부의 거리두기 해제 정책에 따라 삼 년 만에 다시 개최됐다,한편 이번 대회는 코로나 일구가 발생하기 전인 지난 이천 십 구 년을 마지막으로 그동안 열리지 못하다가 정부의 거리두기 해제 정책에 따라 삼 년 만에 다시 개최됐다,0.0
u24,자신의 아내를 성폭행했다고 오해해 직장 동료를 흉기로 찔러 살해한 혐의를 받는 사십 대 공무직 직원이 재판에 넘겨졌다,자신의 아내를 성폭행했다고 오해 직장 동료를 흉기로 찔러 살해한 혐의를 받은 사십 대 공무직 직원이 재판에 남겨졌다,0.0462
u25,이 일 법조계에 따르면 인천지검은 살인 및 도로교통법상 음주 운전 혐의로 인천 옹진군청 소속 공무직 직원 에이 씨를 구속기소했다,이 일 법조계에 따르면 인천지검은 살인 및 도로교통법상 음주운전 혐의로 인천 웅진군청 소속 공무원 직원 에이 씨를 구속 기소했다,0.0563
u26,해당 사건은 인천지법 형사십오부에 배당됐으며 아직 첫 기일은 정해지지 않았다,해장 사건은 인천지법 형사 십 오 부에 배당됐으며 아직 첫 기일은 정해지지 않았다,0.0952
u27,앞서 에이 씨에 대한 구속 전 피의자 심문을 진행한 김현덕 인천지법 영장전담 부장판사는 피의자가 도망할 우려가 있다며 구속영장을 발부했다,앞서 에이 씨에 대한 구속 전 피의자 신문을 진행한 김현덕 임천지범 영장전단부장판사는 피의자가 도망할 우려가 있다며 구속 영장을 발부했다,0.0789
u28,에이 씨는 영장실질심사에 출석하기 전 피해자에게 할 말 없느냐는 취재진의 질문에 죄송하다 죽을 죄를 지었다고 작은 목소리로 답했다,에이 씨는 영장 실질 심사에 출석하기 전 피해자에게 할 말 없느냐는 취재진의 질문에 죄송하다 두 굴대를 지었다 고 작은 목소리로 답했다,0.0972
u29,그는 지난달 십 이 일 영 시 오 분께 한 도로에서 면사무소 동료인 공무직 직원 비 씨의 복부 부위를 흉기로 찔러 살해한 혐의를 받고 있다,그는 지난달 십 이 일 영 시 오 분께 한 도로에서 런 사무소 동료인 공무직 직원 빅 씨의 복부부위를 숨기로 찔러 살해한 혐의를 받고 있다,0.0649
u30,에이 씨는 범행 당일 오후 비 씨를 포함해 지인들과 함께 고깃집에서 술을 마신 후 자기 집에서 다 같이 술자리를 또 가졌던 것으로 조사됐다,에이 씨는 범행 당일 오후 비 씨를 포함해 귀인들과 함께 고기집에서 술을 마신 후 자기집에서 다같이 술자리를 또 가졌던 것으로 조사됐다,0.0519
u31,이후 일행이 모두 귀가한 뒤 에이 씨는 잠긴 방 안에서 옷을 벗은 채 잠든 아내를 보고 술김에 비 씨가 자기 아내를 성폭행했다고 오해한 것으로 파악됐다,이후 일행이 모두 비가 안 뒤 에이 씨는 잠긴 방 안에서 옷을 벗은 채 잠된 아내를 보고 술김에 비 씨가 자기 아내를 성폭행했다고 오해한 것으로 파악됐다,0.0476
u32,경찰 조사에서 에이 씨는 평소보다 술을 많이 마셔서 술김에 비 씨를 오해했다고 진술했다,경찰 조사에서 에이 씨는 평소보다 술을 많이 마셔서 술김에 비 씨를 오해했다고 진술했다,0.0
u33,에이 씨의 아내도 참고인 조사에서 비 씨에게 성폭행을 당한 사실이 없다고 밝힌 것으로 전해졌다,에이 씨의 아내도 참구인 조사에서 비 씨에게 성폭행을 당한 사실이 없다고 밝힌 것으로 전해졌다,0.0192
u34,경북 칠곡군이 민간 위탁을 통해 운영 중인 칠곡보 야외 물놀이장이 인기를 끌고 있다,광북 칠곡군이 민간 위탁을 통해 운영 중인 칠곡부 야외물놀이장이 인기를 끌고 있다,0.0652
u35,임종진 씨는 민결윤결 쌍둥이 자녀와 올여름에만 두 번째 칠곡보 야외 물놀이장을 찾았다,임종진 씨는 민결 민결 쌍둥이 자녀와 올 여름에만 두 번째 출국구 야외물놀이장을 찾았다,0.1489
u36,사 인 가족 기준 이 만 원이면 수영장은 물론 각종 물놀이 부대시설을 마음껏 이용할 수 있기 때문이다,사인 가족 기준 이만원이면 수영장은 물론 각종 물놀이 부대시설을 마음껏 이용할 수 있기 때문이다,0.0536
u37,입장료 이외는 별도의 비용이 발생하지 않는 등 사설 물놀이장 보다 저렴한 가격은 물론 다양한 부대시설과 매점 판매 음식물이 저렴하기 때문이다,입장류위에는 별도의 비용이 발생하지 않는 등 사설물놀이장보다 저렴한 가격은 물론 다양한 부대시설과 예전 판매음식물이 저렴하기 때문이다,0.1154
u38,물놀이장에는 대형 풀 다섯 개 중형 풀 두 개 워터슬라이드 에어바운드 기차 오토바이 등이 마련돼 있다,물놀이장에는 대형풀 다섯 개 중형풀 두 개 워터슬라이드 에어바운드 기차 오토바이 등이 마련돼 있다,0.0357
u39,이용 편의를 위해 몽골텐트 차광막 테이블 피크닉 존 매점 푸드 존 샤워실 탈의실 화장실 등의 부대시설도 갖춰져 있다,이용편의를 위해 몽골템트 차광막 테이블 피크닉존 매점 푸드존 샤워실 타르실 화장실 등의 부대시서도 갖춰져 있다,0.1094
